,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4,1.36507010871e-17,0.0,0.332439929247,1.0324381791e-19,0.332440346479,0.0,0.0,0.0,0.0,7.40988497228e-08,0.0,0.0,1.45938018614e-11,1.52771935183e-35,0.332440346479,0.0
5,1.70888019113e-24,6.2304885691e-18,6.32594934769e-18,9.96251614538e-08,5.96236707253e-18,1.0,1.60264397274e-34,8.43460839909e-15,1.66167727891e-23,3.82797263986e-29,9.92986741721e-08,2.24593110397e-30,4.74988297163e-24,2.34296581164e-30,5.69597521062e-18,2.23568828113e-32
6,7.58057154826e-08,0.0,1.29737097801e-11,1.18004765158e-36,1.27512471068e-11,0.0,0.999999880791,7.99505554462e-22,1.00047131468e-07,0.0,9.24080154618e-08,3.11936022679e-35,9.06066901507e-08,0.0,1.26079797644e-11,1.48078900579e-21
7,1.47122811602e-29,2.80803845085e-37,2.91420568233e-11,1.00507897116e-07,2.78594682046e-11,1.7069053025e-25,5.73460214123e-20,1.0,9.71230136315e-08,0.0,4.45218847399e-17,2.57645566274e-38,5.23215269074e-16,0.0,2.72947810187e-11,0.0
8,7.92460136475e-17,0.0,2.75752726209e-10,4.8304406112e-19,2.54539722633e-10,3.40837514277e-35,9.07116444182e-08,9.51767447077e-08,0.999999880791,0.0,1.26504432666e-23,9.05661861081e-36,1.45068401736e-09,0.0,2.54866183713e-10,2.21679783585e-20
9,4.37235385675e-08,0.0,1.27071484712e-06,1.54299403422e-35,1.27996815991e-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.18292070583e-10,8.9198022124e-07,1.29695195028e-06,2.8617398686e-30
10,2.517076276e-18,2.21582297399e-07,2.57023579416e-20,8.02790137769e-24,2.56306904964e-20,5.74024063837e-08,3.38733165056e-24,1.12189529965e-25,0.0,5.70531588565e-29,0.999999761581,7.85811917378e-28,1.1208649487e-24,1.57736955786e-27,2.42658150207e-20,1.3937325883e-30
11,6.84474130708e-08,8.10595793155e-07,1.89912599535e-11,1.2046769857e-21,1.92311826186e-11,3.65835327744e-21,1.98273497109e-18,1.87669307781e-33,4.15390827416e-37,1.73562427566e-18,8.84373324004e-25,0.999999046326,3.69840456414e-26,2.87298903593e-19,1.89199281242e-11,1.42458290497e-07
12,9.9821839683e-08,0.0,7.03381317635e-08,0.0,7.02425495547e-08,0.0,1.75102793377e-16,1.00909847629e-35,3.62626230992e-26,3.32776183181e-17,1.95716605155e-22,0.0,1.0,2.45476017786e-38,7.01066866782e-08,0.0
13,2.47122455832e-09,0.0,8.36080593647e-10,1.25754580801e-34,8.34266211669e-10,5.87966540278e-37,1.99698725776e-36,0.0,0.0,1.02433519444e-08,0.0,2.76379237928e-33,1.90066591243e-15,0.999998927116,8.29458723928e-10,6.78865092141e-07
