,Classes,GI_10047091-S,GI_10047093-S,GI_10047103-S,GI_10047133-A,GI_10092596-S,GI_10092600-S,GI_10092616-S,GI_10092618-S,GI_10092672-S,GI_10190705-S,GI_10190745-S,GI_10257436-S,GI_10337596-S
WGAAD163,2,0,0,0,0,0,0,0,1,0,1,0,0,0
WGAAD164,2,0,1,0,0,0,0,0,0,0,0,0,0,0
WGAAD165,2,1,0,0,0,0,0,0,0,0,0,1,0,0
WGAAD166,2,0,0,0,0,0,1,1,0,0,0,0,0,1
WGAAD167,2,0,0,1,0,0,0,0,1,0,1,0,0,1
WGAAD168,2,0,0,0,0,0,1,0,0,0,0,0,0,0
WGAAD169,2,0,0,0,0,0,0,0,1,0,0,0,0,0
WGAAD170,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD171,2,0,0,0,0,0,0,0,1,0,0,0,0,0
WGAAD172,2,0,0,0,0,0,1,0,0,0,0,0,0,1
WGAAD173,2,0,0,0,0,0,0,0,0,0,0,0,0,0
WGAAD174,2,0,0,0,0,0,1,0,0,1,0,0,0,0
WGAAD175,2,1,1,0,0,0,0,1,0,0,0,0,0,0
WGAAD176,2,0,0,0,0,0,0,0,0,0,0,0,0,0
