,0,1
429, GI_16507966-S,
430, GI_13929472-S,
431, GI_13540472-S,
432, GI_16554581-S,
433, GI_12545388-S,
434, GI_16507965-S,
435, GI_13375984-S,
436, GI_11497611-A,
437, GI_12383073-S,
438, GI_13376368-S,
439, GI_14602451-S,
440, GI_13376748-S,
441, GI_12707561-I,
442, GI_16905502-A,
443, GI_13385593-S,
444, GI_10947134-S,
445, GI_14110406-A,
446, GI_11496238-S,
447, GI_13787188-A,
448, GI_12545398-S,
449, GI_13259504-S,
450, GI_16306542-A,
451, GI_16596685-S,
452, GI_14110389-A,
453, GI_10800413-S,
454, GI_14916517-S,
455, GI_13376346-S,
456, GI_14195610-S,
457, GI_13186319-A,
458, GI_13376724-S,
459, GI_11559926-S,
460, GI_13489082-S,
461, GI_13236586-S,
462, GI_14589888-S,
463, GI_10835118-S,
464, GI_11641410-A,
465, GI_16117795-A,
466, GI_15967155-A,
467, GI_11612658-S,
468, GI_13899226-S,
469, GI_11056011-S,
470, GI_13470085-S,
471, GI_13376847-S,
472, GI_13376305-S,
473, GI_13376664-S,
474, GI_13376227-S,
475, GI_14042963-S,
476, GI_14150190-S,
477, GI_12707571-A,
478, GI_13375816-S,
479, GI_13236584-S,
480, GI_10864010-S,
481, GI_13027635-S,
482, GI_10800418-S,
483, GI_13540593-S,
484, GI_11072100-S,
485, GI_15147251-S,
486, GI_14149670-S,
487, GI_10346134-S,
488, GI_14211888-S,
489, GI_16306505-S,
490, GI_13376342-S,
491, GI_14249217-S,
492, GI_15812220-S,
493, GI_16445423-S,
494, GI_11863151-S,
495, GI_11345471-S,
496, GI_13514830-S,
497, GI_14602440-A,
498, GI_13386487-S,
499, GI_11863158-S,
500, GI_13027603-S,
501, GI_13027629-S,
502, GI_13569947-S,
503, GI_14141165-A,
504, GI_10800147-S,
505, GI_13775601-A,
506, GI_14589915-I,
507, GI_14149666-S,
508, GI_12056464-S,
509, GI_16933541-I,
510, GI_14249581-S,
511, GI_15451851-A,
512, GI_11038623-S,
513, GI_12383075-S,
514, GI_11545860-S,
515, GI_16117778-A,
516, GI_13376746-S,
517, GI_12965196-S,
518, GI_14589954-S,
519, GI_13430863-A,
520, GI_11545760-S,
521, GI_16117778-I,
522, GI_14971410-A,
523, GI_16357476-S,
524, GI_14210509-S,
525, GI_11386200-S,
526, GI_16357471-A,
527, GI_11496979-S,
528, GI_14149798-S,
529, GI_13376622-S,
530, GI_16905521-I,
531, GI_13435380-S,
532, GI_13376244-S,
533, GI_14249557-S,
534, GI_16306563-S,
535, GI_13128859-S,
536, GI_11545766-S, GI_13128859-S
537, GI_12963480-S,
538, GI_13491165-S,
539, GI_13435128-S,
540, GI_16579884-S,
541, GI_12232436-S,
542, GI_15451873-I,
543, GI_12056970-S,
544, GI_11321629-S,
545, GI_12225239-S,
546, GI_14670393-I,
547, GI_14249307-S,
548, GI_14150079-S,
549, GI_14670374-S,
550, GI_12232456-S,
551, GI_12232430-S, GI_12232456-S
552, GI_13430867-S,
553, GI_14249553-S,
554, GI_14211922-S,
555, GI_13376328-S,
556, GI_13676856-S,
557, GI_12232418-S,
558, GI_11386174-A,
559, GI_13994299-S,
560, GI_14149804-S,
561, GI_13376659-S,
562, GI_11641260-S, GI_13376659-S
563, GI_10567815-I,
564, GI_16554567-A,
565, GI_16933562-S,
566, GI_16117792-S,
567, GI_14591907-S,
568, GI_13375737-S,
569, GI_13775223-S,
570, GI_12597652-S,
571, GI_16306560-S,
572, GI_14043068-S,
573, GI_11545764-S,
574, GI_14042922-S,
575, GI_13514816-A,
576, GI_12025664-S,
577, GI_11345479-S,
578, GI_13443001-S,
579, GI_13435384-S,
580, GI_10834965-S,
581, GI_13259507-A,
582, GI_12408676-S,
583, GI_14165285-S,
584, GI_14589950-S,
585, GI_12408650-S,
586, GI_11761623-A,
587, GI_12025669-S,
588, GI_15011978-A,
589, GI_14110370-S,
590, GI_11761623-I,
591, GI_12232472-S,
592, GI_13376266-S,
593, GI_13377003-S,
594, GI_10800411-S,
595, GI_12383052-S,
596, GI_16117790-S,
597, GI_12383050-S,
598, GI_13375784-S,
599, GI_15431298-S,
600, GI_14719425-S,
601, GI_11612654-S,
602, GI_16306583-S,
603, GI_13699861-S,
604, GI_14150053-S,
605, GI_13375900-S,
606, GI_14149701-S,
607, GI_14249239-S,
608, GI_13324681-S,
609, GI_12056469-S,
610, GI_13259500-A,
611, GI_11119413-S,
612, GI_14150030-S,
613, GI_10800416-S,
614, GI_11056035-S,
615, GI_15619005-S,
616, GI_11496991-S,
617, GI_10800415-S,
618, GI_12056462-S,
619, GI_11496992-S,
620, GI_13376321-S,
621, GI_13112047-A, GI_13376321-S
622, GI_16933547-A,
623, GI_14149723-S,
624, GI_16306549-S,
625, GI_14141169-S,
626, GI_14150034-S,
627, GI_14589910-A,
628, GI_13124878-A,
629, GI_13376287-S,
630, GI_14043031-A,
631, GI_11545742-S,
632, GI_13435358-S,
633, GI_14149986-S,
634, GI_15431289-S,
635, GI_12545396-I,
636, GI_13435144-S,
637, GI_13129143-S,
638, GI_13376528-S,
639, GI_14149687-S,
640, GI_15431292-S,
641, GI_14670372-A,
642, GI_14249273-S,
643, GI_13540514-S,
644, GI_13325056-S,
645, GI_14211844-S,
646, GI_12597656-S,
647, GI_14249303-S,
648, GI_12408653-S,
649, GI_16905513-S,
650, GI_16753224-S,
651, GI_11141892-S,
652, GI_13569888-S,
653, GI_15890084-A,
654, GI_12232392-S,
655, GI_13569844-S,
656, GI_14150131-S,
657, GI_11496977-S,
658, GI_11056053-S,
659, GI_10835046-S,
660, GI_13376207-S,
661, GI_13376201-S,
662, GI_16357473-S,
663, GI_14790189-S,
664, GI_14249551-S,
665, GI_14141160-A,
666, GI_10864046-S,
667, GI_14249149-S,
668, GI_13540554-S,
669, GI_12597658-S,
670, GI_10880123-A,
671, GI_14971416-S,
672, GI_14249707-A,
673, GI_14574571-S,
674, GI_13449266-S,
675, GI_14591913-S,
676, GI_11125767-S,
677, GI_14149806-S,
678, GI_14249457-S,
679, GI_15718674-S,
680, GI_13699866-S,
681, GI_13442997-S,
682, GI_11072092-I,
683, GI_13027654-A,
684, GI_14249477-S,
685, GI_13325058-S,
686, GI_15011927-A,
687, GI_11184225-S,
688, GI_15431291-S,
689, GI_14591910-S,
690, GI_14249703-S,
691, GI_14110380-I,
692, GI_13654275-S,
693, GI_16159362-S,
694, GI_13654273-S,
695, GI_14149858-S,
696, GI_14249531-S,
697, GI_12232394-S,
698, GI_11545768-S,
699, GI_13540575-S,
700, GI_15100150-S,
701, GI_11056017-S,
702, GI_14591914-S,
703, GI_14195633-S,
704, GI_13514812-I,
705, GI_16418350-S,
706, GI_13699821-S,
707, GI_14150051-S,
708, GI_14150089-S,
709, GI_14150136-S,
710, GI_12965190-S,
711, GI_14150140-S,
712, GI_15718683-S,
713, GI_14043073-A,
714, GI_11497001-S,
715, GI_13569865-S,
716, GI_14589873-A,
717, GI_11968052-S,
718, GI_14702161-A,
719, GI_16357499-S,
720, GI_13376229-S,
721, GI_10442821-S,
722, GI_13112053-S,
