,support,itemsets
212,0.102272727273,['GI_12232388-S']
213,0.102272727273,['GI_12232392-S']
214,0.102272727273,['GI_12232394-S']
215,0.102272727273,['GI_12232400-S']
216,0.102272727273,['GI_12232402-S']
217,0.102272727273,['GI_12232414-S']
218,0.102272727273,['GI_12232418-S']
219,0.102272727273,['GI_12232428-S']
220,0.102272727273,['GI_12232430-S']
221,0.102272727273,['GI_12232436-S']
222,0.102272727273,['GI_12232446-S']
223,0.102272727273,['GI_12232456-S']
224,0.102272727273,['GI_12232472-S']
225,0.102272727273,['GI_12232478-S']
226,0.102272727273,['GI_12383050-S']
227,0.102272727273,['GI_12383052-S']
228,0.102272727273,['GI_12383061-S']
229,0.102272727273,['GI_12383063-S']
230,0.102272727273,['GI_12383073-S']
231,0.102272727273,['GI_12383075-S']
232,0.102272727273,['GI_12408641-S']
233,0.102272727273,['GI_12408642-S']
234,0.102272727273,['GI_12408645-S']
235,0.102272727273,['GI_12408650-S']
236,0.102272727273,['GI_12408653-S']
237,0.102272727273,['GI_12408655-S']
238,0.102272727273,['GI_12408664-A']
239,0.102272727273,['GI_12408674-S']
240,0.102272727273,['GI_12408676-S']
241,0.102272727273,['GI_12545386-S']
242,0.102272727273,['GI_12545388-S']
243,0.102272727273,['GI_12545396-I']
244,0.102272727273,['GI_12545398-S']
245,0.102272727273,['GI_12545403-S']
246,0.102272727273,['GI_12545405-A']
247,0.102272727273,['GI_12548775-S']
248,0.102272727273,['GI_12597621-S']
249,0.102272727273,['GI_12597624-S']
250,0.102272727273,['GI_12597630-S']
251,0.102272727273,['GI_12597652-S']
252,0.102272727273,['GI_12597656-S']
253,0.102272727273,['GI_12597658-S']
254,0.102272727273,['GI_12621918-S']
255,0.102272727273,['GI_12669906-S']
256,0.102272727273,['GI_12669913-S']
257,0.102272727273,['GI_12669916-S']
258,0.102272727273,['GI_12707561-I']
259,0.102272727273,['GI_12707565-S']
260,0.102272727273,['GI_12707569-S']
261,0.102272727273,['GI_12707571-A']
262,0.102272727273,['GI_12751492-S']
263,0.102272727273,['GI_12751496-S']
264,0.102272727273,['GI_12957487-S']
265,0.102272727273,['GI_12963480-S']
266,0.102272727273,['GI_12965190-S']
267,0.102272727273,['GI_12965196-S']
268,0.102272727273,['GI_13027379-S']
269,0.102272727273,['GI_13027599-S']
270,0.102272727273,['GI_13027601-S']
